Mode,Status,Timer,Time
1,0,1,0:00:00,08:51:01
1,0,0,0:00:00,08:51:06
1,0,0,0:00:00,08:51:11
1,0,1,0:00:00,08:51:11
1,0,1,0:00:00,08:51:16
1,0,0,0:00:00,08:51:21
1,0,0,0:00:00,08:51:26
1,0,1,0:00:00,08:51:26
1,0,1,0:00:00,08:51:31
1,0,0,0:00:00,08:51:36
1,0,0,0:00:00,08:51:41
1,0,1,0:00:00,08:51:41
1,0,1,0:00:00,08:51:46
1,0,0,0:00:00,08:51:51
1,0,0,0:00:00,08:51:56
1,0,1,0:00:00,08:51:56
1,0,1,0:00:00,08:52:01
1,0,0,0:00:00,08:52:06
1,0,0,0:00:00,08:52:11
1,0,1,0:00:00,08:52:11
1,0,1,0:00:00,08:52:16
1,0,0,0:00:00,08:52:21
1,0,0,0:00:00,08:52:26
1,0,1,0:00:00,08:52:26
1,0,1,0:00:00,08:52:31
1,0,0,0:00:00,08:52:36
1,0,0,0:00:00,08:52:41
1,0,1,0:00:00,08:52:41
1,0,1,0:00:00,08:52:46
1,0,0,0:00:00,08:52:51
1,0,0,0:00:00,08:52:56
1,0,1,0:00:00,08:52:56
1,0,1,0:00:00,08:53:01
1,0,0,0:00:00,08:53:06
1,0,0,0:00:00,08:53:11
1,0,1,0:00:00,08:53:11
1,0,1,0:00:00,08:53:16
1,0,0,0:00:00,08:53:21
1,0,0,0:00:00,08:53:26
1,0,1,0:00:00,08:53:26
1,0,1,0:00:00,08:53:31
1,0,0,0:00:00,08:53:36
1,0,0,0:00:00,08:53:41
1,0,1,0:00:00,08:53:41
1,0,1,0:00:00,08:53:46
1,0,0,0:00:00,08:53:51
1,0,0,0:00:00,08:53:56
1,0,1,0:00:00,08:53:56
1,0,1,0:00:00,08:54:01
1,0,1,0:00:00,08:54:14
1,1,1,0:00:00,08:54:15
1,1,0,0:00:04,08:54:19
1,1,1,0:00:04,08:54:24
1,1,0,0:00:09,08:54:29
1,1,1,0:00:09,08:54:34
1,1,0,0:00:14,08:54:39
1,1,1,0:00:14,08:54:44
1,1,0,0:00:19,08:54:49
1,1,1,0:00:19,08:54:54
1,1,0,0:00:24,08:54:59
1,1,1,0:00:24,08:55:04
1,1,0,0:00:29,08:55:09
1,1,1,0:00:29,08:55:14
1,1,0,0:00:34,08:55:19
1,1,1,0:00:34,08:55:24
1,1,0,0:00:39,08:55:29
1,1,1,0:00:39,08:55:34
1,1,0,0:00:44,08:55:39
1,1,1,0:00:44,08:55:44
1,1,0,0:00:49,08:55:49
1,1,1,0:00:49,08:55:54
1,1,0,0:00:54,08:55:59
1,1,0,0:00:54,08:56:01
1,0,1,0:00:00,08:56:49
1,1,1,0:00:00,08:56:50
1,1,0,0:00:09,08:56:59
1,1,1,0:00:09,08:57:04
1,1,0,0:00:19,08:57:14
1,1,1,0:00:19,08:57:19
1,1,0,0:00:29,08:57:29
1,1,1,0:00:29,08:57:34
1,1,0,0:00:39,08:57:44
1,1,1,0:00:39,08:57:49
1,1,0,0:00:49,08:57:59
1,1,1,0:00:49,08:58:04
1,1,0,0:00:59,08:58:14
1,1,1,0:00:59,08:58:19
1,1,1,0:01:00,08:58:21
1,0,1,0:00:00,09:09:16
1,1,1,0:00:00,09:09:17
1,1,0,0:00:09,09:09:26
1,1,1,0:00:09,09:09:31
0,1,1,0:00:13,09:09:35
1,1,1,0:00:13,09:09:44
1,1,0,0:00:23,09:09:54
1,1,1,0:00:23,09:09:59
1,1,0,0:00:33,09:10:09
1,1,1,0:00:33,09:10:14
1,0,1,0:00:39,09:10:19
1,1,1,0:00:39,09:10:48
1,1,0,0:00:45,09:10:54
1,1,1,0:00:45,09:10:59
1,1,0,0:00:55,09:11:09
1,1,1,0:00:55,09:11:14
1,1,0,0:01:05,09:11:24
1,1,1,0:01:05,09:11:29
1,0,1,0:01:05,09:11:30
1,1,1,0:01:05,09:11:47
1,1,0,0:01:07,09:11:49
1,1,1,0:01:07,09:11:54
1,1,0,0:01:17,09:12:04
1,0,0,0:01:17,09:12:07
1,0,1,0:01:17,09:12:09
1,1,1,0:01:17,09:12:30
1,1,0,0:01:26,09:12:39
1,1,1,0:01:26,09:12:44
1,0,1,0:01:36,09:12:54
1,1,1,0:01:36,09:13:00
1,1,0,0:01:40,09:13:04
1,1,1,0:01:40,09:13:09
1,1,0,0:01:50,09:13:19
1,1,0,0:01:50,09:13:22
1,0,1,0:00:00,09:21:18
1,1,1,0:00:00,09:21:19
1,1,0,0:00:09,09:21:28
1,1,1,0:00:09,09:21:33
1,1,0,0:00:19,09:21:43
1,1,1,0:00:19,09:21:48
1,1,0,0:00:29,09:21:58
